fold_id,horizon,signal_date,rank_ic,n_obs
fold_001,20,2020-03-31,0.26574066801398183,487
fold_001,20,2020-04-01,0.18469531851619125,487
fold_001,20,2020-04-02,0.2952602516678324,487
fold_001,20,2020-04-03,0.36090872293058085,487
fold_001,20,2020-04-06,0.16856992594753617,487
fold_001,20,2020-04-07,0.04181809416826978,487
fold_001,20,2020-04-08,-0.0028701095929919663,487
fold_001,20,2020-04-09,0.04248718035031025,487
fold_001,20,2020-04-13,0.002111777288222795,487
fold_001,20,2020-04-14,0.03179624289407618,487
fold_001,20,2020-04-15,-0.022783735138286815,487
fold_001,20,2020-04-16,0.05965453958351256,487
fold_001,20,2020-04-17,0.13327937007821658,487
fold_001,20,2020-04-20,0.26399179725275707,487
fold_001,20,2020-04-21,0.22705325302636822,487
fold_001,20,2020-04-22,0.23335720848933225,487
fold_001,20,2020-04-23,0.15229471625551114,487
fold_001,20,2020-04-24,0.19279822230866317,487
fold_001,20,2020-04-27,0.17471357085477215,487
fold_001,20,2020-04-28,0.08219765304515252,487
fold_001,20,2020-04-29,-0.043241460735654026,487
fold_001,20,2020-04-30,-0.05293198967529372,487
fold_001,20,2020-05-01,0.020520893982255504,487
fold_001,20,2020-05-04,0.04534606924335496,487
fold_001,20,2020-05-05,0.14755916529628674,487
fold_001,20,2020-05-06,0.3890023426328001,487
fold_001,20,2020-05-07,0.3838179636756852,487
fold_001,20,2020-05-08,0.3696145315544784,487
fold_001,20,2020-05-11,0.4862852916987184,487
fold_001,20,2020-05-12,0.4400819817584666,487
fold_001,20,2020-05-13,0.5178748867020991,487
fold_001,20,2020-05-14,0.4959745738939195,487
fold_001,20,2020-05-15,0.5380260170629444,487
fold_001,20,2020-05-18,0.3689301727530653,487
fold_001,20,2020-05-19,0.32228343737415677,487
fold_001,20,2020-05-20,0.29482139762545057,487
fold_001,20,2020-05-21,0.16623674762609472,487
fold_001,20,2020-05-22,0.14023817805754724,487
fold_001,20,2020-05-26,0.0143600024436191,487
fold_001,20,2020-05-27,0.09011261011350777,487
fold_001,20,2020-05-28,0.2005471545759469,487
fold_001,20,2020-05-29,0.13518366831278492,487
fold_001,20,2020-06-01,0.09135634158636594,487
fold_001,20,2020-06-02,0.0673894459758622,487
fold_001,20,2020-06-03,-0.0007166702614464646,487
fold_001,20,2020-06-04,0.06488452860800568,487
fold_001,20,2020-06-05,-0.05284243186645538,487
fold_001,20,2020-06-08,-0.03833759927722069,487
fold_001,20,2020-06-09,-0.07848682211907491,487
fold_001,20,2020-06-10,-0.1519734717718358,487
fold_001,20,2020-06-11,-0.16762125732514307,487
fold_001,20,2020-06-12,-0.18942879156801803,487
fold_001,20,2020-06-15,-0.22059137660118353,487
fold_001,20,2020-06-16,-0.2544255271754963,487
fold_001,20,2020-06-17,-0.2539481279508883,487
fold_001,20,2020-06-18,-0.3339471471785966,487
fold_001,20,2020-06-19,-0.29281247675341104,487
fold_001,20,2020-06-22,-0.2953508484303695,487
fold_001,20,2020-06-23,-0.24840614113063933,487
fold_001,20,2020-06-24,-0.07866988576080709,487
fold_001,20,2020-06-25,-0.05458153646291123,487
fold_001,20,2020-06-26,-0.13709919080829333,487
fold_001,20,2020-06-29,-0.16242004731810727,487
fold_001,20,2020-06-30,-0.1961060430949683,487
fold_001,20,2020-07-01,-0.20271056786300107,487
fold_001,20,2020-07-02,-0.23835301735011122,487
fold_001,20,2020-07-06,-0.12947181256277876,487
fold_001,20,2020-07-07,0.008671419256466553,487
fold_001,20,2020-07-08,-0.00193619411312211,487
fold_001,20,2020-07-09,0.14044846228618854,487
fold_001,20,2020-07-10,0.06051354650169745,487
fold_001,20,2020-07-13,0.16006432370140136,487
fold_001,20,2020-07-14,0.06056289680239143,487
fold_001,20,2020-07-15,-0.05906929696496689,487
fold_001,20,2020-07-16,-0.03345316625295531,487
fold_001,20,2020-07-17,0.04876090226063858,487
fold_001,20,2020-07-20,0.1090279050496059,487
fold_001,20,2020-07-21,0.05172877739668957,487
fold_001,20,2020-07-22,0.043548575449025406,487
fold_001,20,2020-07-23,0.008862067260200135,487
fold_001,20,2020-07-24,0.017757900515611942,487
fold_001,20,2020-07-27,0.14414287774382478,487
fold_001,20,2020-07-28,0.07766459416182826,487
fold_001,20,2020-07-29,0.050087438343292746,487
fold_001,20,2020-07-30,0.13251750533087142,487
fold_001,20,2020-07-31,0.19897262024538426,487
fold_001,20,2020-08-03,0.035770760268914466,487
fold_001,20,2020-08-04,0.00046254218671494063,487
fold_001,20,2020-08-05,0.03622551030288825,487
fold_001,20,2020-08-06,0.047552599108910194,487
fold_001,20,2020-08-07,0.017901483916788953,487
