window,start,end,trading_days,strategy_total_return,benchmark_total_return,excess_return,strategy_max_drawdown,benchmark_max_drawdown,avg_turnover_on_rebalance,rebalances
1,2017-07-20,2017-10-12,60,0.04020667987249116,0.0360893137915721,0.003973948988868159,-0.05351138878525197,-0.02081729785942077,0.5833333333333334,6
2,2019-08-27,2019-11-19,60,0.12188032401700166,0.08809187264674656,0.03105293975596557,-0.09042649878032083,-0.03949623264345592,0.6,6
3,2021-10-01,2021-12-27,60,0.020805593564597435,0.1160383468949695,-0.08533107629798531,-0.08841598806748907,-0.04093845074737712,0.5333333333333333,6
4,2023-11-08,2024-02-05,60,0.08754600582474237,0.1318678927287218,-0.03915818019815687,-0.1329187177579303,-0.01974032203624987,0.7000000000000001,6
5,2025-12-18,2026-03-17,60,0.1986480504411039,0.002043621205718882,0.19620346367638053,-0.10151250909249732,-0.04773610194341282,0.6333333333333335,6
